标的,资产编号,交易场所,市场类型,精确合约,数据对象,主研究尺度,事后结果观察窗口,时间范围,最终状态,尺度证据状态,门1来源身份,门2时间与质量合同,门3质量审计,门4历史重放,门5成本与执行,门6血缘,是否合格,拒绝原因,成员指纹
BTC,DS-000008,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,eccfde5d01c49c8f77861ee3431bde335940db8398bb8bb9aa7709bfb58efd37
BTC,DS-000009,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,8e1f41c0fc06a8a2514ac7146f6b2c49ed94ad13585a5819ea6d2e7c93a67edc
BTC,DS-000009,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,e1aed529c67563f2cacb8c3da8a25936546d4accdc4360312f5a950790a96019
BTC,DS-000009,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,5ece70d6a81945b946aaa6ed48f67504b63ddb2e53b43147eb2a555000a94fe4
BTC,DS-000009,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,5bfd1f28fc0fa8c48d5a5880756982d449c4429831a09b0253bc235eee574899
BTC,DS-000010,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,695367500f1343710b15fbe0dd5f48ae40d53251c5f2f1df8cc45edff9a7f912
BTC,DS-000010,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,4f24b29193a2265e145c7c6b1586c1621fece799394efc509a1d09c6bd92a041
BTC,DS-000010,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,9c42e2f67584e136e216dddeec18b2938253ae8a72c3f76d9d4f4aa1f15bb28a
BTC,DS-000010,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,36db74502eb7efdeec14eae4f4501736c798ecb8b9250676845c61cb787c21a9
BTC,DS-000011,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,e60150c5919fb1e051ae9bc7d3fb0b8cb326d5a589674e21250fc379e41a410c
BTC,DS-000011,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,106dd4258e96ca21b0d302012a549de67e6ee4821cf0b83a424a3e207a0d2d82
BTC,DS-000011,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,c395f7dfe1f1abbbd3a06bdb6fe1a514b0757116eaf7ded62f3c80c1a295d772
BTC,DS-000011,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,54ea3a0cfa2bcb5bae577b50a8d4f80d8ff85cdf29d5039e52ccc3ed3f3c0d84
BTC,DS-000012,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,3dcb18031d4efee0676d05934cdc220ec7428026cea2e6035216396c7202563b
BTC,DS-000012,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,591ca050b50313592bd2c28d5179ff7ed0a0fd338eaabaf8dd2dbcff30857241
BTC,DS-000012,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,3b52d52de4aff12dbb3d2e45cca55ae9fdb7b663f3eed143471893a7287b3828
BTC,DS-000012,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,2ec2c49c114e56e28e4528688ba1a8d645dd8d56d5688e71e60c19ce65b5b316
BTC,DS-000013,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,6d4b44fb317465120fd884da09f62a8cdfaa94e7126e16e96f096cb328a0c32d
BTC,DS-000013,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,6753a466c1839327a59f969e3403c26f3cff36ab1a916739c2948f0178ea8e50
BTC,DS-000013,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,8b771dc1e66717858bc52a8f3c80d52e68cb13326dfa96f5a58cad104d3f962a
BTC,DS-000013,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,fbc5e308b5bff92881ff2e8108313f4f6f8a25ea6beaea819a14ce030cc79e5e
